"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
     Akan , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 25 
     Amhara , -   , -   , -   , -   , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , 65 
     Angolan , -   , 15 , -   , -   , 10 , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , 30 , 70 
     Ashanti , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 65 
     Bantu , -   , -   , -   , -   , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , 170 
     Black , -   , 110 , -   , 30 , 70 , 50 , 65 , -   , 30 , 50 , 25 , 10 , -   , 30 , 15 , 10 , 35 , 15 , 50 , 45 , 135 , -   , 765 ," 3,005 "
     Burundian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 90 
     Cameroonian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Chadian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
     Congolese (Zairian) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 20 , 80 
"     Congolese, n.o.s. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 85 
     Dinka , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 20 
     East African , -   , 10 , -   , 15 , 10 , -   , -   , -   , 20 , 10 , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 95 , 610 
     Eritrean , -   , 15 , -   , 10 , -   , -   , 25 , -   , 25 , 10 , 20 , 10 , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , 135 , 335 
     Ethiopian , -   , 20 , -   , 35 , 35 , 10 , 20 , -   , 35 , 10 , -   , 80 , -   , 95 , 95 , -   , -   , 10 , 40 , 20 , 60 , -   , 570 ," 1,620 "
     Gabonese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 10 
     Gambian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
     Ghanaian , -   , 10 , 10 , -   , 20 , 15 , 10 , -   , 35 , 20 , -   , 20 , -   , 20 , -   , -   , -   , -   , 20 , 10 , 30 , -   , 225 ," 1,100 "
"     Guinean, n.o.s. ", -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 
     Harari , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Ibo , -   , -   , -   , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 20 
     Ivorian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
     Kenyan , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 10 , 115 , -   , -   , 10 , -   , -   , -   , -   , 20 , -   , -   , -   , 200 , 765 
     Malagasy , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , 35 
     Malian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 10 
     Mauritian , -   , 10 , -   , 10 , -   , -   , 35 , -   , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 80 , 325 
     Nigerian , -   , 10 , -   , -   , 15 , -   , 10 , -   , 50 , 15 , -   , 10 , -   , 50 , -   , -   , -   , -   , 15 , 25 , -   , -   , 195 , 880 
     Oromo , -   , -   , -   , -   , 65 , -   , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 120 , 145 
     Peulh , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Rwandan , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 230 
     Senegalese , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 20 
     Seychellois , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 15 
     Sierra Leonean , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 115 
     Somali , -   , 35 , -   , 25 , -   , 40 , 10 , -   , -   , -   , 10 , 85 , -   , 25 , -   , -   , -   , -   , 85 , 20 , 10 , -   , 340 ," 1,325 "
     South African , 40 , 190 , 70 , 145 , 45 , -   , 35 , 30 , 10 , 145 , 70 , 55 , -   , 30 , 60 , 45 , 40 , -   , -   , -   , 100 , 25 ," 1,145 "," 4,115 "
     Sudanese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , -   , -   , -   , -   , -   , -   , 20 , -   , 60 , 700 
     Tanzanian , -   , 10 , -   , -   , -   , -   , -   , -   , 25 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , 140 
     Tigrian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 
     Togolese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 
     Ugandan , -   , 10 , -   , 10 , -   , -   , 10 , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 75 , 360 
     Yoruba , -   , -   , -   , -   , 10 , -   , 20 , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , 80 
     Zambian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 40 
     Zimbabwean , -   , -   , -   , -   , -   , -   , 10 , -   , 20 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 235 
     Zulu , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 70 
"     African, n.i.e. ", 10 , 145 , 55 , 105 , 150 , 130 , 70 , 10 , 95 , 115 , 45 , 55 , -   , 90 , 100 , -   , 10 , 35 , 95 , 15 , 260 , -   ," 1,600 "," 6,490 "
   Arab origins , 55 , 695 , 85 , 235 , 250 , 110 , 145 , 85 , 150 , 205 , 165 , 295 , 115 , 135 , 150 , 65 , 35 , 30 , 160 , 100 , 555 , 55 ," 3,870 "," 14,170 "
     Egyptian , -   , 40 , -   , 10 , 25 , 10 , 15 , -   , 25 , 50 , 10 , 25 , 25 , 10 , 15 , -   , -   , 10 , -   , 10 , 105 , -   , 400 ," 2,115 "
     Iraqi , -   , 70 , 25 , 25 , -   , 15 , -   , -   , 55 , -   , 20 , 95 , 10 , 15 , 15 , -   , -   , -   , 10 , 35 , 30 , 15 , 435 ," 1,805 "
     Jordanian , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , 55 , 300 
     Kuwaiti , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 75 
     Lebanese , 10 , 135 , 35 , 50 , 105 , 20 , 50 , 65 , 10 , 70 , 25 , 80 , -   , 10 , 60 , 55 , -   , 10 , 25 , 25 , 200 , 25 ," 1,065 "," 4,175 "
     Libyan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 
     Maghrebi origins , -   , 75 , 10 , 50 , 45 , 10 , 40 , 10 , 30 , 15 , 25 , 20 , -   , 40 , -   , 10 , 10 , 10 , 50 , 20 , 45 , -   , 530 ," 1,345 "
       Algerian , -   , -   , -   , 10 , 40 , 10 , 35 , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 145 , 390 
       Berber , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , -   , 25 , -   , -   , -   , 70 , 150 
       Moroccan , -   , 50 , -   , 35 , -   , -   , -   , 10 , 35 , 10 , 10 , 15 , -   , -   , -   , -   , -   , -   , 25 , 25 , 25 , -   , 255 , 635 
       Tunisian , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 70 
"       Maghrebi, n.i.e. ", -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 35 , 155 
     Palestinian , -   , 25 , -   , 10 , 10 , 20 , 15 , -   , -   , -   , 20 , -   , 40 , 20 , -   , 15 , -   , -   , -   , 10 , 35 , 20 , 265 ," 1,050 "
     Saudi Arabian , 20 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , 60 , 255 
     Syrian , -   , 10 , 10 , 10 , 20 , 25 , 10 , -   , 10 , 10 , 15 , 10 , 45 , -   , 20 , -   , 25 , 10 , 10 , -   , 35 , -   , 255 , 920 
     Yemeni , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 35 , 75 
"     Arab, n.i.e. ", 35 , 290 , 10 , 75 , 45 , 10 , 25 , 10 , 35 , 55 , 55 , 60 , 25 , 45 , 30 , -   , -   , 10 , 65 , 10 , 100 , 25 ," 1,005 "," 3,075 "
   West Asian origins , 145 ," 2,280 ", 325 , 525 , 190 , 185 , 220 , 100 , 400 , 590 , 215 , 325 , 140 , 275 , 210 , 70 , 125 , 30 , 415 , 230 ," 1,560 ", 280 ," 8,825 "," 40,145 "
     Afghan , -   , 40 , 25 , -   , 10 , 30 , 15 , -   , 90 , 40 , -   , 105 , -   , 35 , 10 , -   , 15 , -   , 190 , 45 , 20 , -   , 670 ," 4,620 "
     Armenian , 20 , 20 , 135 , 45 , 10 , -   , 40 , -   , -   , 80 , 45 , 25 , -   , -   , 25 , -   , -   , 15 , -   , 15 , 70 , 15 , 575 ," 1,910 "
     Assyrian , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 35 , 355 
     Azerbaijani , -   , -   , 25 , -   , 10 , -   , -   , -   , 30 , -   , 15 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 15 , -   , 100 , 405 
     Georgian , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 45 , 245 
     Iranian , 105 ," 1,915 ", 125 , 225 , 65 , 100 , 60 , 80 , 150 , 280 , 95 , 115 , 95 , 115 , 100 , 65 , 80 , 10 , 185 , 85 ," 1,065 ", 195 ," 5,325 "," 27,150 "
     Israeli , -   , 50 , 10 , 35 , 10 , -   , -   , 10 , -   , 45 , 10 , 10 , 25 , -   , 60 , 10 , 10 , -   , -   , 20 , 80 , 10 , 385 , 760 
     Kurd , -   , 35 , 15 , 15 , 30 , 45 , 35 , -   , 65 , -   , -   , 25 , 10 , 65 , -   , -   , -   , -   , 45 , 60 , 60 , -   , 500 ," 1,145 "
     Pashtun , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 170 
     Tatar , -   , 10 , -   , 20 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 15 , 65 , 235 
     Turk , 10 , 80 , 10 , 105 , 80 , 10 , 35 , 10 , 60 , 140 , 30 , 35 , 10 , 70 , 10 , -   , 25 , -   , 25 , -   , 235 , 15 ," 1,000 "," 3,380 "
"     West Asian, n.i.e. ", 10 , 145 , -   , 105 , -   , 10 , 50 , -   , 15 , 10 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 70 , 40 , 485 ," 1,350 "
   South Asian origins , 220 ," 1,240 ", 350 , 645 , 405 , 905 ," 3,260 ", 415 ," 1,375 ", 715 , 715 , 670 , 355 ," 3,355 "," 1,025 ", 240 , 65 , 135 ," 13,210 "," 2,840 ", 980 , 315 ," 33,415 "," 208,540 "
     Bangladeshi , -   , -   , 15 , -   , -   , -   , 25 , 10 , 15 , -   , 10 , 80 , 50 , 40 , -   , -   , -   , 20 , 155 , -   , 10 , -   , 425 , 780 
     Bengali , -   , -   , -   , -   , -   , -   , 20 , -   , 25 , 70 , -   , 15 , -   , -   , -   , -   , -   , 15 , 35 , -   , 10 , 25 , 225 , 410 
     East Indian , 205 ," 1,070 ", 285 , 585 , 260 , 715 ," 2,570 ", 365 ," 1,170 ", 575 , 570 , 455 , 300 ," 2,925 ", 915 , 235 , 55 , 40 ," 11,220 "," 2,510 ", 830 , 245 ," 28,110 "," 181,890 "
     Goan , -   , 10 , -   , -   , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , 40 , 275 
     Gujarati , -   , -   , -   , 20 , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , 10 , -   , 120 , 520 
     Kashmiri , -   , 10 , -   , 15 , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 70 
     Nepali , 10 , -   , -   , -   , 10 , -   , 30 , -   , -   , 15 , -   , -   , -   , -   , 10 , -   , -   , -   , 30 , -   , -   , -   , 90 , 460 
     Pakistani , -   , 75 , 10 , 10 , 60 , 75 , 125 , 20 , 115 , 10 , 10 , -   , -   , 35 , 45 , -   , -   , 35 , 425 , 80 , 20 , -   ," 1,155 "," 6,875 "
     Punjabi , -   , 55 , 10 , 30 , 10 , 25 , 160 , 10 , -   , -   , -   , 10 , -   , 145 , -   , -   , -   , -   , 805 , 175 , 10 , -   ," 1,470 "," 13,735 "
     Sinhalese , -   , 10 , 10 , -   , -   , -   , -   , -   , 20 , 10 , 10 , -   , -   , 10 , -   , -   , -   , -   , 20 , -   , 40 , -   , 120 , 415 
     Sri Lankan , 15 , 15 , 35 , 10 , 65 , 70 , 275 , -   , 65 , 20 , 80 , 120 , -   , 190 , 45 , -   , -   , 15 , 295 , 25 , 30 , 35 ," 1,410 "," 3,740 "
     Tamil , -   , 10 , -   , -   , -   , -   , 120 , -   , -   , -   , 15 , 10 , -   , 15 , 20 , -   , -   , -   , 60 , 35 , 10 , -   , 290 , 735 
"     South Asian, n.i.e. ", -   , 40 , 10 , 10 , 20 , 20 , 70 , 15 , 80 , 20 , 20 , 15 , -   , 65 , 25 , -   , -   , -   , 530 , 115 , 10 , -   ," 1,075 "," 6,495 "
   East and Southeast Asian origins ," 7,725 "," 11,830 "," 5,560 "," 5,150 "," 7,570 "," 18,980 "," 26,335 "," 6,425 "," 15,505 "," 4,715 "," 13,170 "," 7,045 "," 8,650 "," 33,320 "," 9,175 "," 3,275 "," 2,345 "," 5,825 "," 14,190 "," 19,410 "," 8,840 "," 2,570 "," 237,410 "," 584,895 "
     Burmese , -   , 20 , -   , 30 , 20 , 10 , 45 , -   , -   , 25 , -   , 10 , -   , 125 , -   , -   , -   , -   , -   , -   , -   , -   , 300 , 865 
     Cambodian , -   , 20 , 10 , -   , 30 , 35 , 250 , -   , -   , 10 , 10 , 70 , -   , 110 , 40 , -   , -   , 20 , 10 , 20 , 10 , -   , 640 ," 1,525 "
     Chinese ," 6,445 "," 7,925 "," 4,360 "," 3,360 "," 5,135 "," 15,475 "," 17,665 "," 5,295 "," 12,470 "," 3,100 "," 11,005 "," 3,210 "," 7,505 "," 25,300 "," 6,280 "," 2,690 "," 1,835 "," 5,075 "," 9,170 "," 16,625 "," 3,365 "," 1,810 "," 174,995 "," 401,995 "
     Filipino , 55 , 980 , 200 , 545 ," 1,090 "," 1,615 "," 5,245 ", 210 ," 1,360 ", 390 ," 1,410 "," 2,515 ", 305 ," 5,220 "," 2,145 ", 230 , 80 , 140 ," 3,665 "," 2,000 "," 1,000 ", 75 ," 30,485 "," 83,760 "
     Hmong , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 
     Indonesian , 65 , 65 , 20 , 65 , 30 , 30 , 10 , 10 , 55 , 45 , 65 , 35 , 20 , 50 , 15 , -   , 15 , -   , 10 , 45 , 110 , 30 , 780 ," 3,140 "
     Japanese , 255 ," 1,150 ", 320 , 805 , 440 , 395 , 600 , 345 , 590 , 585 , 290 , 370 , 215 , 730 , 320 , 130 , 175 , 65 , 310 , 265 ," 2,325 ", 425 ," 11,105 "," 30,230 "
     Khmer , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 55 , 140 
     Korean , 755 ," 1,620 ", 370 , 320 , 205 , 85 , 305 , 355 , 675 , 495 , 410 , 135 , 290 , 475 , 140 , 110 , 145 , -   , 105 , 100 ," 1,810 ", 240 ," 9,120 "," 46,040 "
     Laotian , -   , 20 , -   , -   , -   , -   , 10 , -   , 40 , 10 , -   , 10 , -   , 45 , -   , -   , -   , 25 , 50 , 10 , 45 , -   , 260 ," 1,065 "
     Malaysian , 25 , 100 , 30 , 15 , 55 , 55 , 110 , 15 , 15 , 40 , 40 , 40 , -   , 135 , 190 , -   , -   , -   , 45 , 85 , 100 , -   ," 1,085 "," 3,360 "
     Mongolian , -   , 10 , -   , 10 , 25 , -   , 15 , -   , -   , 50 , -   , 30 , -   , 15 , -   , -   , 10 , 10 , 15 , -   , 55 , -   , 245 , 675 
     Singaporean , -   , 10 , -   , 10 , 25 , 10 , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , -   , 95 , 520 
     Taiwanese , 185 , 250 , 340 , 90 , -   , -   , 45 , 250 , 220 , 65 , 160 , 25 , 510 , 65 , 215 , 90 , 60 , -   , 10 , 105 , 135 , 85 ," 2,920 "," 9,810 "
     Thai , 20 , 35 , 20 , 25 , 20 , -   , 15 , 20 , 10 , 70 , 15 , 35 , -   , 100 , 45 , 15 , -   , -   , 20 , 15 , 85 , -   , 570 ," 1,565 "
     Tibetan , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 10 , 10 , -   , -   , -   , 40 , 100 
     Vietnamese , 10 , 180 , 25 , 70 , 805 ," 1,635 "," 3,055 ", 40 , 540 , 95 , 100 , 845 , 35 ," 2,395 ", 310 , 20 , 55 , 585 ," 1,280 ", 945 , 155 , 25 ," 13,220 "," 26,110 "
"     East or Southeast Asian, n.i.e. ", -   , -   , -   , 25 , 30 , 100 , 15 , 20 , -   , -   , -   , 95 , -   , 45 , 20 , -   , -   , 10 , 55 , -   , 30 , -   , 450 ," 1,175 "
"     Asian, n.o.s. ", -   , -   , -   , 10 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 80 
   Oceania origins , 75 , 295 , 120 , 240 , 190 , 115 , 405 , 70 , 150 , 440 , 80 , 125 , -   , 630 , 380 , -   , 65 , 15 , 165 , 220 , 305 , 150 ," 4,230 "," 18,125 "
     Australian , 60 , 155 , 65 , 130 , 130 , 60 , 100 , 55 , 35 , 370 , 45 , 65 , -   , 25 , 135 , -   , 15 , 10 , -   , -   , 180 , 95 ," 1,740 "," 5,530 "
     New Zealander , -   , 90 , 25 , 90 , 25 , 15 , 75 , 20 , 15 , 55 , 10 , 40 , -   , 10 , 80 , -   , 35 , 10 , -   , 20 , 70 , 25 , 695 ," 2,395 "
     Pacific Islands origins , 15 , 45 , 25 , 25 , 35 , 45 , 235 , -   , 100 , 20 , 25 , 20 , -   , 595 , 185 , 10 , 15 , 10 , 160 , 195 , 55 , 35 ," 1,855 "," 10,380 "
       Fijian , 10 , 20 , -   , -   , 10 , 45 , 195 , -   , 95 , 20 , 15 , 10 , -   , 560 , 175 , -   , -   , -   , 160 , 185 , 15 , 20 ," 1,545 "," 8,915 "
       Hawaiian , -   , -   , 15 , -   , -   , -   , 35 , -   , 10 , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , -   , 10 , 10 , -   , 115 , 660 
       Maori , 10 , -   , 15 , 20 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 10 , 10 , 75 , 375 
       Polynesian , 10 , 10 , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , 50 , 265 
       Samoan , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , 10 , -   , 45 , 160 
"       Pacific Islander, n.i.e. ", -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , 30 , 210 
 Total income in 2005 of population 15 years and over ," 13,505 "," 39,630 "," 17,425 "," 26,425 "," 24,505 "," 27,780 "," 37,080 "," 12,445 "," 22,645 "," 36,550 "," 20,080 "," 20,775 "," 10,930 "," 41,045 "," 18,265 "," 7,455 "," 5,755 "," 10,115 "," 28,815 "," 24,510 "," 42,195 "," 11,000 "," 497,830 "," 1,752,385 "
   Without income ," 1,275 "," 1,535 ", 950 , 695 , 865 ," 1,405 "," 1,575 "," 1,015 "," 1,415 "," 1,185 "," 1,415 ", 780 , 665 ," 2,365 ", 740 , 415 , 230 , 360 ," 1,955 "," 1,515 "," 1,505 ", 465 ," 24,260 "," 92,855 "
   With income ," 12,235 "," 38,090 "," 16,470 "," 25,735 "," 23,635 "," 26,380 "," 35,505 "," 11,430 "," 21,235 "," 35,365 "," 18,660 "," 20,000 "," 10,260 "," 38,680 "," 17,520 "," 7,040 "," 5,525 "," 9,755 "," 26,865 "," 22,990 "," 40,695 "," 10,540 "," 473,570 "," 1,659,535 "
"     Under $1,000 ", 725 ," 2,935 ", 995 , 785 ," 1,230 "," 1,350 "," 2,135 ", 695 ," 1,170 "," 1,445 "," 1,355 "," 1,000 ", 920 ," 2,645 ", 990 , 335 , 310 , 515 ," 1,520 "," 1,460 "," 3,390 ", 470 ," 28,295 "," 90,815 "
"     $1,000 to $2,999 ", 565 ," 1,255 ", 705 , 650 , 685 , 915 ," 1,320 ", 565 , 880 , 895 , 945 , 570 , 505 ," 1,485 ", 580 , 305 , 130 , 315 ," 1,200 "," 1,090 "," 1,055 ", 290 ," 16,840 "," 62,535 "
"     $3,000 to $4,999 ", 530 ," 1,025 ", 570 , 610 , 775 , 765 ," 1,055 ", 395 , 835 , 885 , 820 , 635 , 575 ," 1,605 ", 555 , 190 , 155 , 245 ," 1,100 ", 910 , 890 , 280 ," 15,355 "," 58,310 "
"     $5,000 to $6,999 ", 455 ," 1,535 ", 470 , 595 , 900 ," 1,130 "," 1,430 ", 485 , 950 , 950 , 760 , 570 , 500 ," 1,565 ", 560 , 250 , 125 , 610 ," 1,075 ", 990 ," 1,070 ", 345 ," 17,280 "," 61,585 "
"     $7,000 to $9,999 ", 780 ," 2,355 ", 745 , 965 ," 1,715 "," 1,725 "," 2,195 ", 565 ," 1,490 "," 1,470 "," 1,260 "," 1,300 ", 605 ," 2,660 ", 915 , 245 , 255 ," 1,140 "," 1,875 "," 1,635 "," 1,825 ", 540 ," 28,210 "," 94,285 "
"     $10,000 to $11,999 ", 480 ," 2,480 ", 675 , 850 ," 1,650 "," 1,940 "," 2,635 ", 530 ," 1,160 "," 1,130 ", 975 ," 1,095 ", 475 ," 2,455 ", 915 , 225 , 205 ," 1,320 "," 1,835 "," 1,580 "," 2,030 ", 495 ," 27,095 "," 82,330 "
"     $12,000 to $14,999 ", 605 ," 2,300 ", 810 ," 1,110 "," 2,140 "," 2,410 "," 3,065 ", 535 ," 1,515 "," 1,815 "," 1,315 "," 1,475 ", 680 ," 3,305 "," 1,310 ", 330 , 325 ," 1,785 "," 2,485 "," 1,975 "," 2,420 ", 535 ," 34,190 "," 107,610 "
"     $15,000 to $19,999 "," 1,185 "," 2,315 "," 1,080 "," 1,870 "," 2,605 "," 2,830 "," 3,815 ", 845 ," 1,775 "," 2,785 "," 1,590 "," 2,205 ", 755 ," 4,080 "," 1,620 ", 460 , 400 ," 1,120 "," 3,170 "," 2,515 "," 3,405 ", 685 ," 43,020 "," 148,615 "
"     $20,000 to $24,999 ", 730 ," 2,240 ", 775 ," 1,725 "," 2,005 "," 2,310 "," 3,320 ", 630 ," 1,580 "," 2,235 "," 1,300 "," 1,675 ", 675 ," 3,275 "," 1,375 ", 420 , 435 , 755 ," 2,510 "," 1,925 "," 2,885 ", 640 ," 35,390 "," 122,395 "
"     $25,000 to $29,999 ", 675 ," 1,740 ", 885 ," 1,490 "," 1,580 "," 1,900 "," 2,800 ", 545 ," 1,240 "," 2,195 "," 1,200 "," 1,445 ", 430 ," 2,865 "," 1,110 ", 345 , 395 , 390 ," 1,985 "," 1,505 "," 2,710 ", 425 ," 29,810 "," 106,505 "
